replicate,K,group,optimal_week_total_error
67,4,G3,12.02104633029765
67,4,G4,12.025751876483293
67,5,G1,12.017297932040536
67,5,G2,12.019788642580552
67,5,G3,12.022285805128766
67,5,G4,12.025173614131523
67,5,G5,12.029256573854912
68,2,G1,12.041168767717043
68,2,G2,12.395855137401746
68,3,G1,12.033418000417134
68,3,G2,12.041903806445136
68,3,G3,12.395855137401746
68,4,G1,12.033418000417134
68,4,G2,12.04128658494637
68,4,G3,12.048916760677653
68,4,G4,12.450467775405492
68,5,G1,12.035046879181895
68,5,G2,12.037920418157668
68,5,G3,12.042529435510593
68,5,G4,12.048916760677653
68,5,G5,12.450467775405492
69,2,G1,12.469649726719954
69,2,G2,12.478489743143223
69,3,G1,12.46869086123968
69,3,G2,12.471832422956334
69,3,G3,12.478489743143223
69,4,G1,12.467680074029996
69,4,G2,12.47040420821258
69,4,G3,12.471832422956334
69,4,G4,12.478489743143223
69,5,G1,12.467680074029996
69,5,G2,12.47040420821258
69,5,G3,12.475320733063514
69,5,G4,12.482859705328627
69,5,G5,12.48797052179493
70,2,G1,12.036863198536095
70,2,G2,12.451777333292567
70,3,G1,12.026177126116377
70,3,G2,12.03828859965248
70,3,G3,12.451777333292567
70,4,G1,12.026177126116377
70,4,G2,12.030374255775305
70,4,G3,12.04018197624506
70,4,G4,12.451777333292567
70,5,G1,12.026177126116377
70,5,G2,12.02941749832462
70,5,G3,12.031427076139142
70,5,G4,12.04018197624506
70,5,G5,12.451777333292567
71,2,G1,12.042211854177719
71,2,G2,12.451300848343765
71,3,G1,12.035008175781313
71,3,G2,12.043106042871
71,3,G3,12.451300848343765
71,4,G1,12.035008175781313
71,4,G2,12.038798682281794
71,4,G3,12.044707407247985
71,4,G4,12.451300848343765
71,5,G1,12.035008175781313
71,5,G2,12.038247683154903
71,5,G3,12.039796131743424
71,5,G4,12.044707407247985
71,5,G5,12.451300848343765
72,2,G1,11.994045389042768
72,2,G2,11.998772354838303
72,3,G1,11.992539141193598
72,3,G2,11.994746813598331
72,3,G3,11.998772354838303
72,4,G1,11.992539141193598
72,4,G2,11.994424721533283
72,4,G3,11.995203179006035
72,4,G4,11.998772354838303
72,5,G1,11.992539141193598
72,5,G2,11.994424721533283
72,5,G3,11.995203179006035
72,5,G4,11.995862944072748
72,5,G5,11.999214752737846
73,2,G1,11.977599486081155
73,2,G2,11.979694204188426
73,3,G1,11.977153312332613
73,3,G2,11.979308038502003
73,3,G3,11.981280381129507
73,4,G1,11.977153312332613
73,4,G2,11.978424875733644
73,4,G3,11.979609044254802
73,4,G4,11.98139108182416
73,5,G1,11.977153312332613
73,5,G2,11.978424875733644
73,5,G3,11.978917063749757
73,5,G4,11.979910766007215
73,5,G5,11.98139108182416
74,2,G1,11.977660570796322
74,2,G2,11.978852181863106
74,3,G1,11.977514011859297
74,3,G2,11.978076065775031
74,3,G3,11.978909225061647
74,4,G1,11.97722707756984
74,4,G2,11.977993692530383
74,4,G3,11.978611758291267
74,4,G4,11.979451934251449
74,5,G1,11.97722707756984
74,5,G2,11.977993692530383
74,5,G3,11.97851811247139
74,5,G4,11.978982668531906
74,5,G5,11.979451934251449
75,2,G1,12.460152739772864
75,2,G2,12.471377625327344
75,3,G1,12.454723883477286
75,3,G2,12.461814962387828
75,3,G3,12.471377625327344
75,4,G1,12.454723883477286
75,4,G2,12.459919982385868
75,4,G3,12.463005294810259
75,4,G4,12.471377625327344
75,5,G1,12.454723883477286
75,5,G2,12.459919982385868
75,5,G3,12.462273089080545
75,5,G4,12.463591853766644
75,5,G5,12.471377625327344
76,2,G1,12.020822921631884
76,2,G2,12.028497924246683
76,3,G1,12.020822921631884
76,3,G2,12.023645226938266
76,3,G3,12.029192149902435
76,4,G1,12.019925681630568
76,4,G2,12.023324184598541
76,4,G3,12.024505857319701
76,4,G4,12.03010792341072
76,5,G1,12.019925681630568
76,5,G2,12.023324184598541
76,5,G3,12.024505857319701
76,5,G4,12.02587490216856
76,5,G5,12.03130032265146
77,2,G1,12.027810336992644
77,2,G2,12.039410846039434
77,3,G1,12.027810336992644
77,3,G2,12.037359370393213
77,3,G3,12.046305826048593
77,4,G1,12.027810336992644
77,4,G2,12.032735895339458
77,4,G3,12.038486267706345
77,4,G4,12.046305826048593
77,5,G1,12.027810336992644
77,5,G2,12.032735895339458
77,5,G3,12.034256560422008
77,5,G4,12.037625330130295
77,5,G5,12.044154160054394
78,2,G1,12.479394257847932
78,2,G2,12.489196420460193
78,3,G1,12.47866200466418
78,3,G2,12.481909247185978
78,3,G3,12.489717706470975
78,4,G1,12.479394257847932
78,4,G2,12.48751358822355
78,4,G3,12.493520467114026
78,4,G4,12.497071897838637
78,5,G1,12.47866200466418
78,5,G2,12.481909247185978
78,5,G3,12.484381198371686
78,5,G4,12.486457563874827
78,5,G5,12.49200561708484
79,2,G1,12.463012400209884
79,2,G2,12.473439298990266
79,3,G1,12.465112008388756
79,3,G2,12.471904608242102
79,3,G3,12.478885333671412
79,4,G1,12.465112008388756
79,4,G2,12.471904608242102
79,4,G3,12.476858084225988
79,4,G4,12.4803559614186
79,5,G1,12.463012400209884
79,5,G2,12.467011813276192
79,5,G3,12.471904608242102
79,5,G4,12.476858084225988
79,5,G5,12.4803559614186
80,2,G1,12.012980728267465
80,2,G2,12.015023733459493
80,3,G1,12.012770582635397
80,3,G2,12.013570779452383
80,3,G3,12.015131183867494
80,4,G1,12.012291620662069
80,4,G2,12.013341016325457
80,4,G3,12.013842334333665
80,4,G4,12.015337890696951
80,5,G1,12.012291620662069
80,5,G2,12.013229669870062
80,5,G3,12.013474638892559
80,5,G4,12.013842334333665
80,5,G5,12.015337890696951
81,2,G1,12.456408831576127
81,2,G2,12.471358242318683
81,3,G1,12.460610615168182
81,3,G2,12.469072856996368
81,3,G3,12.479888754406872
81,4,G1,12.458365659025025
81,4,G2,12.463316435086867
81,4,G3,12.46527379680737
81,4,G4,12.473811415303407
81,5,G1,12.458365659025025
81,5,G2,12.467030023588807
81,5,G3,12.473206017810723
81,5,G4,12.475584574259061
81,5,G5,12.48117576641869
82,2,G1,11.962116022358275
82,2,G2,11.96109666402198
82,3,G1,11.962262830985459
82,3,G2,11.96206450532644
82,3,G3,11.96109666402198
82,4,G1,11.962262830985459
82,4,G2,11.96206450532644
82,4,G3,11.961657233925411
82,4,G4,11.9603890550686
82,5,G1,11.962262830985459
82,5,G2,11.9621033169295
82,5,G3,11.961779470222915
82,5,G4,11.961428523897458
82,5,G5,11.9603890550686
83,2,G1,12.223225025183796
83,2,G2,12.46042339813639
83,3,G1,12.223225025183796
83,3,G2,12.451235685687063
83,3,G3,12.461730303364318
83,4,G1,12.223225025183796
83,4,G2,12.451235685687063
83,4,G3,12.4538134825631
83,4,G4,12.462587458366507
83,5,G1,12.223225025183796
83,5,G2,12.451235685687063
83,5,G3,12.4538134825631
83,5,G4,12.455321011963358
83,5,G5,12.463533844422887
84,2,G1,12.45903674386634
84,2,G2,12.466461988685095
84,3,G1,12.457124988898775
84,3,G2,12.460634184900368
84,3,G3,12.467025392026029
84,4,G1,12.457124988898775
84,4,G2,12.459479148510646
84,4,G3,12.461141978633476
84,4,G4,12.467025392026029
84,5,G1,12.457124988898775
84,5,G2,12.459479148510646
84,5,G3,12.460719437337442
84,5,G4,12.46169833231892
84,5,G5,12.467025392026029
85,2,G1,12.047048190512417
85,2,G2,12.45218073302125
85,3,G1,12.046124480556452
85,3,G2,12.222226857391773
85,3,G3,12.45422651006716
85,4,G1,12.045537477003336
85,4,G2,12.118014072100156
85,4,G3,12.268896222923486
85,4,G4,12.45422651006716
85,5,G1,12.045537477003336
85,5,G2,12.089795044106799
85,5,G3,12.173794307369953
85,5,G4,12.303254780634223
85,5,G5,12.45422651006716
86,2,G1,12.020806991406424
86,2,G2,12.030463089705023
86,3,G1,12.019470525258997
86,3,G2,12.027289965486746
86,3,G3,12.036472547367584
86,4,G1,12.020806991406424
86,4,G2,12.024669864302435
86,4,G3,12.028587817518723
86,4,G4,12.036472547367584
86,5,G1,12.020806991406424
86,5,G2,12.024669864302435
86,5,G3,12.027576607319489
86,5,G4,12.03120714379258
86,5,G5,12.036472547367584
87,2,G1,12.330952627844288
87,2,G2,12.458504799685961
87,3,G1,12.330952627844288
87,3,G2,12.452752227388615
87,3,G3,12.45982286108553
87,4,G1,12.330952627844288
87,4,G2,12.452178550981616
87,4,G3,12.454401482953992
87,4,G4,12.460765478255576
87,5,G1,12.330952627844288
87,5,G2,12.452178550981616
87,5,G3,12.454401482953992
87,5,G4,12.459136203439725
87,5,G5,12.466125522438116
88,2,G1,11.996583198557385
88,2,G2,11.999158625582647
88,3,G1,11.996583198557385
88,3,G2,11.997393071135836
88,3,G3,11.99936653702081
88,4,G1,11.996583198557385
88,4,G2,11.997393071135836
88,4,G3,11.997727668913157
88,4,G4,11.999595647234523
88,5,G1,11.996583198557385
88,5,G2,11.997393071135836
88,5,G3,11.997727668913157
88,5,G4,11.998120047568767
88,5,G5,11.999802607163122
89,2,G1,12.116601712891901
89,2,G2,12.450913218966832
89,3,G1,12.049526898519948
89,3,G2,12.216040523082764
89,3,G3,12.45142598365421
89,4,G1,12.047306469648525
89,4,G2,12.126721694366504
89,4,G3,12.29834385265346
89,4,G4,12.45190652931748
89,5,G1,12.047306469648525
89,5,G2,12.10970502071534
89,5,G3,12.203918741317116
89,5,G4,12.320672518625988
89,5,G5,12.45190652931748
90,2,G1,11.97683401074
90,2,G2,11.978686010044068
90,3,G1,11.976389302483708
90,3,G2,11.977426779414218
90,3,G3,11.978858412392206
90,4,G1,11.976389302483708
90,4,G2,11.977295255351011
90,4,G3,11.977553613856537
90,4,G4,11.978858412392206
90,5,G1,11.976389302483708
90,5,G2,11.977295255351011
90,5,G3,11.977952125685814
90,5,G4,11.978797527216408
90,5,G5,11.97968203070936
91,2,G1,12.004745883233367
91,2,G2,12.01457701280642
91,3,G1,12.004029767194016
91,3,G2,12.007311238739195
91,3,G3,12.015235359472317
91,4,G1,12.004029767194016
91,4,G2,12.007311238739195
91,4,G3,12.01170142418152
91,4,G4,12.019377227590152
91,5,G1,12.004745883233367
91,5,G2,12.007811815590276
91,5,G3,12.011237154812349
91,5,G4,12.015905490978207
91,5,G5,12.020697010152537
92,2,G1,12.081219906837566
92,2,G2,12.463807782614726
92,3,G1,12.081219906837566
92,3,G2,12.372891995223496
92,3,G3,12.46514534013469
92,4,G1,12.081219906837566
92,4,G2,12.372891995223496
92,4,G3,12.452551176702551
92,4,G4,12.467155782530531
92,5,G1,12.081219906837566
92,5,G2,12.372891995223496
92,5,G3,12.452551176702551
92,5,G4,12.456443921094476
92,5,G5,12.468819626777535
93,2,G1,12.044411020030015
93,2,G2,12.451892662675368
93,3,G1,12.044103806206188
93,3,G2,12.199473995979535
93,3,G3,12.45300580644616
93,4,G1,12.038955918385534
93,4,G2,12.04521894263956
93,4,G3,12.199473995979535
93,4,G4,12.45300580644616
93,5,G1,12.037708671668561
93,5,G2,12.041020293329938
93,5,G3,12.045698073022075
93,5,G4,12.199473995979535
93,5,G5,12.45300580644616
94,2,G1,12.040370010263974
94,2,G2,12.452990071244166
94,3,G1,12.039574590490096
94,3,G2,12.227853924270722
94,3,G3,12.454398011888768
94,4,G1,12.039012440073309
94,4,G2,12.117722609993011
94,4,G3,12.32397483067966
94,4,G4,12.455211295976001
94,5,G1,12.031741094688094
94,5,G2,12.040985391729368
94,5,G3,12.117722609993011
94,5,G4,12.32397483067966
94,5,G5,12.455211295976001
95,2,G1,12.045417908482701
95,2,G2,12.457720477099798
95,3,G1,12.0445729143381
95,3,G2,12.225270224859631
95,3,G3,12.458755849878445
95,4,G1,12.04330118051208
95,4,G2,12.057552497331155
95,4,G3,12.380133816446028
95,4,G4,12.459419232573566
95,5,G1,12.040202068374333
95,5,G2,12.046256385167123
95,5,G3,12.057552497331155
95,5,G4,12.380133816446028
95,5,G5,12.459419232573566
96,2,G1,12.00722066257315
96,2,G2,12.015617271829155
96,3,G1,12.00798895587017
96,3,G2,12.01096265213318
96,3,G3,12.01653865349644
96,4,G1,12.006641988138293
96,4,G2,12.009552036386422
96,4,G3,12.01096265213318
96,4,G4,12.01653865349644
96,5,G1,12.006641988138293
96,5,G2,12.009552036386422
96,5,G3,12.01096265213318
96,5,G4,12.015173524186164
96,5,G5,12.02342949776643
97,2,G1,12.000321849051634
97,2,G2,12.004269989930368
97,3,G1,12.000321849051634
97,3,G2,12.003282812951207
97,3,G3,12.006963979932324
97,4,G1,11.99989506024595
97,4,G2,12.002937583312912
97,4,G3,12.005716101857562
97,4,G4,12.00789770865519
97,5,G1,11.99989506024595
97,5,G2,12.001595698479349
97,5,G3,12.002256891814643
97,5,G4,12.003339803693525
97,5,G5,12.006183348559004
98,2,G1,12.02733826804385
98,2,G2,12.036854903747935
98,3,G1,12.02733826804385
98,3,G2,12.034313197633077
98,3,G3,12.04337002765602
98,4,G1,12.02733826804385
98,4,G2,12.030701322934629
98,4,G3,12.035423835832356
98,4,G4,12.04337002765602
98,5,G1,12.02733826804385
98,5,G2,12.03010646385797
98,5,G3,12.032335166294425
98,5,G4,12.035378683590647
98,5,G5,12.040886227273312
99,2,G1,12.110346747899047
99,2,G2,12.456234989977306
99,3,G1,12.048795873291601
99,3,G2,12.298054769164441
99,3,G3,12.457102206756593
99,4,G1,12.048795873291601
99,4,G2,12.256382404078883
99,4,G3,12.395232171357728
99,4,G4,12.458198164232618
99,5,G1,12.048795873291601
99,5,G2,12.256382404078883
99,5,G3,12.352110575710803
99,5,G4,12.432329606817257
99,5,G5,12.458198164232618
100,2,G1,12.007753794290586
100,2,G2,12.017216969644927
100,3,G1,12.004669661007526
100,3,G2,12.009016058813453
100,3,G3,12.017216969644927
100,4,G1,12.004669661007526
100,4,G2,12.008133239422135
100,4,G3,12.010214503705942
100,4,G4,12.017216969644927
100,5,G1,12.004669661007526
100,5,G2,12.008133239422135
100,5,G3,12.010214503705942
100,5,G4,12.011494646366891
100,5,G5,12.018003575407196
